Timestamp,Email Address,Student ID,First Name,Last Name,Major,GPA,Desired Team Role,What is your time commitment to this course?,Level of Detail,Problem Solving Approach,Conflicts,General skills and interests [Writing],General skills and interests [Presentation Generation],General skills and interests [Presentation Delivery],General skills and interests [Project Management],General skills and interests [Marketing / Customer Relationship],Mechanical Skills and Interests [Machining],Mechanical Skills and Interests [CNC],Mechanical Skills and Interests [Fluids],Mechanical Skills and Interests [Heat Transfer],Mechanical Skills and Interests [Mechanics of Materials],Mechanical Skills and Interests [Finite Element Analysis],Mechanical Skills and Interests [Kinematics and Dynamics],Mechanical Skills and Interests [Computational Fluid Dynamics],Electrical Skills and Interests [Circuits],"Electrical Skills and Interests [Digital/FPGA Design (Vivado, etc.)]",Electrical Skills and Interests [Communication Systems],Electrical Skills and Interests [Power Electronics and Systems],Electrical Skills and Interests [Signals and Systems ],Electrical Skills and Interests [Wireless Communication],Electrical Skills and Interests [Control Systems],Electrical Skills and Interests [Electromechanics],"Electrical Skills and Interests [PCB Design (Eagle, ExpressPCB, etc.)]",Computer Systems Skills and interests [Windows PC],Computer Systems Skills and interests [Mac PC],Computer Systems Skills and interests [Arduino],Computer Systems Skills and interests [Raspberry Pi],Computer Systems Skills and interests [Build your own PC],"Computer Systems Skills and interests [IoT (Alexa, Google assistant, etc.)]",Software Skills and Interests [Matlab],Software Skills and Interests [C/C++],Software Skills and Interests [Java],Software Skills and Interests [Python],Software Skills and Interests [Embedded],Software Skills and Interests [Networking],Software Skills and Interests [Operating Systems/Linux],Software Skills and Interests [Machine Learning/ Big Data],Software Skills and Interests [App development (iOS and/or Android)],"Software Skills and Interests [Cloud computing (AWS, Azure, etc.)]",Software Skills and Interests [Database (relational or non-relational)],Project: [Competition - Baja SAE],Project: [Competition - ASME Human Powered Vehicle],Project: [Community - Gyroplane],Project: [Community - Waste for Life Tijuana ],Project: [Community - Mobile Steam Collaboratory],Project: [eTrack - Life Box],Project: [eTrack - Discrete Solar],Project: [eTrack - Sunshine Box],Project: [eTrack - Helmet Sensor],Project: [Industry - Glaukos - Human Periorbital Tissue],Project: [Industry - Clear Blue Sea - Marine Robot],Project: [Industry - ThermoFisher - Bench Top Filler],Project: [Industry - General Atomics - Mockingjay],Project: [Industry - Hatsu - Charging Station for UAV],Project: [Industry - Solar Turbines - Automatic Leveling],Project: [Industry - Northrup - Active Field Cancellation],Project: [Industry - MexLog - Combo Saddle and Elevation System],Project: [Industry - Cubic - Accesible Fare Payment],Project: [Industry - SDGE - Integrated Control of Local Battery],Project: [Industry -Hi-Q Environmental Products - Testing Collection Efficiency of Annular Kinetic Impactor],Project: [CS - Northrup - Machine Learning],Project: [CS - COR.PER - Insights],Project: [CS - Jacobitz - Computing Clusters],Project: [CS - Atlazo - Heart Rhythm Monitoring],Project: [CS - Georgia Tech - Automated System Deployment and Configuration],Project: [CS - Seamgen - Platform for software design],Project: [CS - Hoople - Project Team Match],Project: [CS - Nuuve Corp - Electric Vehicle and User Identification ],Project: [CS - Bennett - Financial Planning Note-taking Application],Project: [CS - Clarke - Unity 3D Game],Project: [CS - Jacobs -  Nudge App & Kiosk],Are you already a member of an entrepreneurship team? ,Confidential Comments to Instructors,Gender,What categories do you most identify as? Check all that apply.
9/10/2019 21:51,UZTO@sandiego.edu,87,NOG,PCL,Mechanical Engineering,3.08,Leader,4-6 hours outside of class per week,3,2,,Proficient,Adept,Adept,Proficient,Somewhat familiar,Somewhat capable,Interested and able to learn,Proficient,Proficient,Adept,Interested and able to learn,Proficient,Interested and able to learn,Proficient,No interest,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,No interest,Proficient,Adept,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Familiar,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat Familiar,No interest,No interest,2,7,Avoid,6,5,,4,,,1,,,3,,,,Avoid,,,,,,,,,,,,,,,No,,Trans/nonbinary/male presenting,Middle Eastern or North African
9/10/2019 21:52,YWKK@sandiego.edu,88,YMY,DQZ,Computer Science,3.31,Contributor,6 hours+ outside class per week - this is a big priority for me,4,3,,Adept,Adept,Proficient,Proficient,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Adept,No interest,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Somewhat Capable,Adept,Somewhat Familiar,Interested and able to learn,No interest,Interested and able to learn,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Somewhat Capable,,,,,,,,,,,,,,,,,,,,,7,4,Avoid,Avoid,,2,1,5,Avoid,3,6,No,,Prefer not to say,"Hispanic or Latino, Prefer not to say"
9/10/2019 21:55,GYMV@sandiego.edu,89,JQQ,ZRW,Mechanical Engineering,3.87,Leader,2-3 hours outside of class per week,3,2,,Proficient,Proficient,Somewhat capable,Proficient,Somewhat familiar,Proficient,Proficient,Proficient,Adept,Adept,Adept,Adept,Somewhat familiar,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Somewhat Familiar,Somewhat Capable,Proficient,Adept,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,5,4,7,,,,,,1,6,,,2,,3,,,Avoid,,,,,,,Avoid,Avoid,,,,,,No,,Prefer not to say,Hispanic or Latino
9/10/2019 21:58,UBVV@sandiego.edu,90,DWO,XMR,Computer Science,3.53,Contributor,4-6 hours outside of class per week,4,2,,Proficient,Proficient,Somewhat capable,Somewhat familiar,Somewhat familiar,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,Somewhat familiar,Somewhat familiar,Somewhat familiar,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Adept,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Somewhat Familiar,Proficient,Proficient,Somewhat Capable,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Somewhat Familiar,,,,,,,,,,,,,,,,,,,,,4,,1,,2,7,3,5,6,,,No,,Male,White
9/10/2019 22:02,XHXS@sandiego.edu,91,MSF,OVF,Mechanical Engineering,3.1,Leader,"This fall semester I am very busy with an internship and 18 units.  But, next semester I only plan on taking 12 units, so my contribution to this project will be greater.",5,3,,Adept,Adept,Adept,Adept,Adept,Proficient,Proficient,Proficient,Somewhat capable,Adept,Interested and able to learn,Adept,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,Interested and able to learn,Adept,Adept,Somewhat Capable,Somewhat Capable,Somewhat Capable,Proficient,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,7,,,5,,,,2,,4,3,6,1,,,,,,,,,,,,,,,,,,,No,,Female,White
9/10/2019 22:02,NRVV@sandiego.edu,92,VLP,MHO,Integrated Engineering,3.27,Leader,4-6 hours outside of class per week,5,3,,Proficient,Proficient,Adept,Proficient,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Somewhat familiar,Proficient,Proficient,Proficient,Proficient,Adept,Adept,Proficient,Adept,Somewhat Familiar,Adept,Adept,Adept,Somewhat Capable,Adept,Adept,Somewhat Capable,Somewhat Capable,Adept,Somewhat Capable,Proficient,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,2,,6,Avoid,Avoid,4,5,1,Avoid,Avoid,3,Avoid,Avoid,Avoid,Avoid,Avoid,7,6,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Male,Prefer not to say
9/10/2019 22:05,PWXZ@sandiego.edu,93,ALT,UAB,Electrcial Engineering,3.96,Contributor,4-6 hours outside of class per week,3,3,,Proficient,Proficient,Proficient,Somewhat capable,Proficient,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Somewhat capable,Somewhat capable,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Proficient,Proficient,Proficient,Proficient,Somewhat Familiar,Somewhat Familiar,Proficient,Adept,Proficient,Proficient,Adept,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,6,Avoid,Avoid,3,Avoid,Avoid,5,Avoid,2,Avoid,1,4,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,7,Avoid,Avoid,Avoid,No,,Female,Asian / Pacific Islander
9/10/2019 22:19,ZVKX@sandiego.edu,94,CVO,SVY,Mechanical Engineering,3.21,Contributor,4-6 hours outside of class per week,3,4,,Proficient,Proficient,Adept,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Adept,Somewhat capable,Adept,Somewhat capable,Adept,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat familiar,No interest,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,Avoid,2,,,,5,7,,,3,,1,4,,,6,,,,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Male,White
9/10/2019 22:23,DOAA@sandiego.edu,95,IMA,OCF,Electrcial Engineering,3.3,Contributor,4-6 hours outside of class per week,3,2,,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat capable,Somewhat familiar,Interested and able to learn,Somewhat familiar,Somewhat familiar,Interested and able to learn,Proficient,Somewhat familiar,Interested and able to learn,Adept,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,No interest,No interest,Somewhat Familiar,Somewhat Capable,Somewhat Familiar,No interest,Somewhat Familiar,No interest,No interest,No interest,No interest,No interest,No interest,,,5,,,,,,,,7,,1,3,6,2,,,4,,,,,,,,,,,,,No,,Male,Asian / Pacific Islander
9/10/2019 22:24,DUXR@sandiego.edu,96,WAR,IBO,Computer Science,3.69,Contributor,4-6 hours outside of class per week,2,1,,Adept,Adept,Adept,Proficient,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,Adept,Proficient,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Proficient,Adept,Proficient,Interested and able to learn,Interested and able to learn,Adept,Proficient,Interested and able to learn,Somewhat Capable,Interested and able to learn,,,,,,,,,,,,,,,,,,5,,,4,,,6,1,2,,3,7,,,No,,Male,Prefer not to say
9/10/2019 22:34,LAVK@sandiego.edu,97,LOZ,IIX,Electrcial Engineering,3.04,Contributor,4-6 hours outside of class per week,4,4,,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Adept,Proficient,Proficient,Proficient,Somewhat capable,Proficient,Proficient,Somewhat capable,Proficient,Somewhat Familiar,Somewhat Familiar,,Somewhat Familiar,Somewhat Capable,Somewhat Familiar,Proficient,Interested and able to learn,Interested and able to learn,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,,Avoid,Avoid,3,,,2,,,1,,,,,4,,,,,,,,,,,,,No,,Male,Asian / Pacific Islander
9/10/2019 22:39,KHLE@sandiego.edu,98,WIR,EYM,Electrcial Engineering,3.53,Contributor,4-6 hours outside of class per week,2,2,,Proficient,Proficient,Proficient,Somewhat capable,Somewhat capable,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,No interest,Interested and able to learn,No interest,No interest,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Somewhat capable,Interested and able to learn,Somewhat capable,Interested and able to learn,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Capable,Proficient,Somewhat Familiar,Proficient,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,Avoid,Avoid,Avoid,6,Avoid,5,Avoid,1,7,,,2,,,3,,,,,,,,4,,,,,,,,Yes,,Male,White
9/10/2019 22:42,SSAJ@sandiego.edu,99,GHL,WHW,Mechanical Engineering,3.24,Contributor,6 hours+ outside class per week - this is a big priority for me,4,3,,Adept,Adept,Adept,Adept,Somewhat familiar,Proficient,Somewhat capable,Proficient,Somewhat capable,Proficient,Somewhat familiar,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat capable,Interested and able to learn,Adept,Somewhat Capable,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Female,White
9/10/2019 22:44,NFSY@sandiego.edu,100,GCK,KMU,Computer Science,3.32,Leader,6 hours+ outside class per week - this is a big priority for me,3,4,,Not interested,Proficient,Proficient,Proficient,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Proficient,No interest,No interest,Somewhat Familiar,Proficient,Interested and able to learn,Proficient,Proficient,Somewhat Capable,Interested and able to learn,Interested and able to learn,Proficient,Interested and able to learn,Proficient,Somewhat Familiar,Interested and able to learn,,,,,4,,,,,,,,,,,,,,,,7,,,,3,1,2,,6,,5,No,,Prefer not to say,Prefer not to say
9/10/2019 22:47,YPXE@sandiego.edu,101,QDV,CZK,Mechanical Engineering,3.39,Contributor,2-3 hours outside of class per week,2,3,,Proficient,Adept,Adept,Proficient,Proficient,Somewhat capable,Somewhat capable,Proficient,Somewhat capable,Proficient,Somewhat capable,Proficient,Interested and able to learn,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Adept,Somewhat Familiar,Somewhat Capable,Interested and able to learn,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Avoid,,,3,,,1,2,5,,,,,Avoid,7,6,4,,,,,,,,,,,,,,,No,,Male,Hispanic or Latino
9/10/2019 22:46,KQFN@sandiego.edu,102,TJU,HCW,Mechanical Engineering,3.79,Contributor,6 hours+ outside class per week - this is a big priority for me,4,3,,Somewhat capable,Somewhat capable,Proficient,Somewhat capable,Somewhat familiar,Proficient,Somewhat familiar,Somewhat capable,Somewhat familiar,Proficient,Interested and able to learn,Somewhat capable,Interested and able to learn,Somewhat capable,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,,Somewhat Familiar,Somewhat Capable,No interest,Interested and able to learn,No interest,Somewhat Familiar,No interest,No interest,No interest,Interested and able to learn,No interest,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,,4,3,,,,1,2,,,,,,,6,,7,,5,,,,,,,,,,,,,No,,Male,Middle Eastern or North African
9/10/2019 22:50,VFGH@sandiego.edu,103,BSD,XUN,Computer Science,3.97,Contributor,4-6 hours outside of class per week,4,3,,Adept,Proficient,Proficient,Somewhat capable,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,No interest,Interested and able to learn,Somewhat capable,Somewhat capable,Somewhat familiar,Interested and able to learn,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Adept,Adept,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Familiar,Adept,Adept,Adept,Proficient,Adept,Somewhat Familiar,Adept,Somewhat Familiar,Somewhat Capable,Somewhat Capable,,,,6,,,2,1,7,,,,,,,,,,,,,3,,4,,5,,,,,,No,,Male,"Hispanic or Latino, White"
9/10/2019 22:54,ENYR@sandiego.edu,104,NWN,VPU,Mechanical Engineering,3.21,Contributor,Just enough to get by - I have other priorities,,,,Proficient,Not interested,Not interested,,,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat familiar,No interest,No interest,No interest,Somewhat familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,No,,Male,Middle Eastern or North African
9/10/2019 22:58,NUEQ@sandiego.edu,105,AII,VAV,Mechanical Engineering,3.35,Either (I often take Project Manager roles in group projects),3-4 hours outside of class per week,4,1,N/A,Proficient,Adept,Proficient,Adept,Proficient,Proficient,Proficient,Somewhat capable,Somewhat capable,Somewhat capable,Interested and able to learn,Somewhat capable,Somewhat familiar,Somewhat capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Adept,Somewhat Capable,Somewhat Capable,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,3,2,,,,5,6,,4,1,7,,,,,,,,,,,,,,,,,,,,,No,,Female,White
9/10/2019 23:06,ZHKD@sandiego.edu,106,ZSO,SWT,Computer Science,3.31,Contributor,4-6 hours outside of class per week,4,2,,Somewhat capable,Proficient,Proficient,Proficient,Somewhat familiar,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,Interested and able to learn,Proficient,Adept,Interested and able to learn,Somewhat Capable,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Proficient,Adept,Proficient,Interested and able to learn,Somewhat Familiar,Proficient,Interested and able to learn,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Avoid,Avoid,,,,,,,,,,,,,,,,,,,6,7,4,5,3,1,,2,,,,No,,Male,Prefer not to say
9/10/2019 23:08,SYCP@sandiego.edu,107,MBX,RQK,Mechanical Engineering,3.55,Leader,4-6 hours outside of class per week,3,2,,Proficient,Proficient,Proficient,Proficient,Somewhat capable,Proficient,Somewhat capable,Proficient,Somewhat familiar,Proficient,Somewhat familiar,Proficient,Interested and able to learn,Somewhat capable,Interested and able to learn,Somewhat capable,Interested and able to learn,Interested and able to learn,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,Adept,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,1,6,7,,,,4,2,Avoid,,,3,,,5,,,,,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,Avoid,No,,Male,White
9/10/2019 23:13,JSNM@sandiego.edu,108,MAV,UBQ,Computer Science,3.71,Contributor,4-6 hours outside of class per week,4,2,,Proficient,Proficient,Proficient,Somewhat capable,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,No interest,Adept,Adept,Somewhat Capable,Somewhat Capable,Adept,Adept,Somewhat Capable,Somewhat Capable,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Adept,Somewhat Capable,Adept,Proficient,Somewhat Capable,,,,,,,,,2,,,,,,,,,,,,,,Avoid,,,3,6,5,4,7,1,No,,Male,Black or African American
9/10/2019 23:15,LAVE@sandiego.edu,109,FEL,PCV,Mechanical Engineering,3.35,Contributor,4-6 hours outside of class per week,4,2,,Adept,Proficient,Proficient,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Somewhat capable,Proficient,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Somewhat Capable,Somewhat Capable,Interested and able to learn,No interest,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,1,,,7,6,,4,5,,,2,,,,Avoid,Avoid,,3,Avoid,,,,,,,,,,,,,No,,Female,White
9/10/2019 23:30,FFXZ@sandiego.edu,110,NTQ,RNQ,Electrcial Engineering,3.55,Contributor,6 hours+ outside class per week - this is a big priority for me,2,2,,Proficient,Proficient,Proficient,Adept,Somewhat capable,No interest,Interested and able to learn,Interested and able to learn,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat capable,Proficient,Somewhat capable,Proficient,Proficient,Somewhat capable,Proficient,Somewhat capable,Somewhat capable,Adept,Proficient,Proficient,Proficient,Somewhat Familiar,Somewhat Capable,Somewhat Capable,Proficient,Interested and able to learn,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Avoid,Avoid,,,,,,,,5,2,,6,4,,3,,1,7,,,,,,,,,,,,,No,,Female,"Asian / Pacific Islander, White"
9/10/2019 23:30,DWTS@sandiego.edu,111,DAX,NBK,Computer Science,3.66,Contributor,4-6 hours outside of class per week,5,4,,Adept,Adept,Adept,Proficient,Adept,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Interested and able to learn,Somewhat Familiar,Proficient,Somewhat Capable,Somewhat Familiar,Somewhat Capable,Proficient,Proficient,No interest,Proficient,Proficient,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,Somewhat Capable,,,,,,,,,,,,,,,,,,,,,1,Avoid,Avoid,2,1,3,3,2,3,1,4,Yes,,Prefer not to say,Prefer not to say
9/10/2019 23:43,MAEK@sandiego.edu,112,ZIX,GUZ,Integrated Engineering,3.43,Leader,6 hours+ outside class per week - this is a big priority for me,3,2,,Adept,Adept,Adept,Adept,Adept,Somewhat familiar,Interested and able to learn,Somewhat capable,Somewhat capable,Proficient,Interested and able to learn,Somewhat familiar,Interested and able to learn,Adept,Interested and able to learn,Somewhat familiar,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Somewhat familiar,Interested and able to learn,Adept,Adept,Adept,Somewhat Familiar,Interested and able to learn,Somewhat Capable,Adept,Somewhat Familiar,Proficient,Somewhat Capable,Somewhat Familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Familiar,Interested and able to learn,Interested and able to learn,4,,,7,Avoid,,Avoid,,,3,,6,2,,,1,Avoid,,5,,,,,,,,,,,,,No,,Female,White
9/10/2019 23:50,BUOA@sandiego.edu,113,ARR,DOY,Integrated Engineering,4,Contributor,2-3 hours outside of class per week,1,4,,Adept,Proficient,Adept,Adept,,No interest,No interest,No interest,Somewhat familiar,Interested and able to learn,Interested and able to learn,Interested and able to learn,,Proficient,Interested and able to learn,Somewhat familiar,Interested and able to learn,Proficient,Somewhat familiar,Somewhat familiar,Somewhat familiar,Interested and able to learn,Interested and able to learn,Adept,Proficient,Proficient,Interested and able to learn,Interested and able to learn,Proficient,Adept,Proficient,Interested and able to learn,Adept,Interested and able to learn,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,,,,7,,,,1,,,4,,,,,,,2,,,6,,,3,,5,,,,,,No,,Female,"Asian / Pacific Islander, White"
9/11/2019 1:37,UFOF@sandiego.edu,114,OIZ,EFE,Computer Science,3.69,Contributor,4-6 hours outside of class per week,4,3,,Proficient,Somewhat capable,Somewhat capable,Interested and able to learn,Proficient,Interested and able to learn,No interest,No interest,Interested and able to learn,Interested and able to learn,No interest,No interest,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,Somewhat Capable,Proficient,Interested and able to learn,Interested and able to learn,Interested and able to learn,Somewhat Capable,Somewhat Familiar,Somewhat Familiar,Interested and able to learn,Interested and able to learn,5,,,,,7,,6,,,,,,,4,,,,,,,,,,,1,,,2,3,,,,,
9/11/2019 3:18,CDMN@sandiego.edu,115,ZAM,SCC,Computer Science,3.96,Leader,6 hours+ outside class per week - this is a big priority for me,3,3,,Proficient,Proficient,Proficient,Proficient,Proficient,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Adept,Adept,Interested and able to learn,Interested and able to learn,Adept,Interested and able to learn,Interested and able to learn,Proficient,Proficient,Adept,Adept,Adept,Somewhat Capable,Somewhat Capable,Proficient,Somewhat Familiar,Interested and able to learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Yes,,Male,White
9/11/2019 9:03,SBIE@sandiego.edu,116,GNM,ZWT,Computer Science,3.64,Contributor,4-6 hours outside of class per week,4,2,,Proficient,Proficient,Proficient,Somewhat capable,Interested and able to learn,No interest,No interest,No interest,No interest,No interest,No interest,No interest,No interest,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,Interested and able to learn,No interest,No interest,Adept,Adept,Somewhat Capable,Somewhat Capable,Adept,Adept,Somewhat Capable,Somewhat Capable,Proficient,Somewhat Capable,Somewhat Capable,Somewhat Capable,Adept,Somewhat Capable,Adept,Proficient,Somewhat Capable,,,,,,,,,2,,,,,,,,,,,,,,Avoid,,,3,6,5,4,7,1,No,,Male,Black or African American
